date_30,rf_gross_29d,date_60,rf_gross_59d,date_90,rf_gross_89d,date_180,rf_gross_179d
20040421,1.0008857997436673,20040421,1.001904207721295,20040414,1.0030249984988444,20040414,1.0067398863157062
20040519,1.0008893573848545,20040519,1.002094606116201,20040519,1.0034766579288248,20040519,1.0084098875782879
20040616,1.0010118837788144,20040623,1.002510582629331,20040616,1.0040652306575335,20040616,1.0098369080024712
20040721,1.0011471766187778,20040721,1.0026610187539406,20040714,1.004325053062668,20040721,1.0100589472184265
20040818,1.0012885717379403,20040818,1.0028358191922748,20040818,1.0044927480818169,20040818,1.0099301988602836
20040915,1.0014379079160973,20040922,1.0032134184333101,20040915,1.0048614914749185,20040915,1.0105627502177879
20041020,1.0015329292200124,20041020,1.003356167520399,20041020,1.0052433241494991,20041013,1.0113047595521827
20041117,1.001715908720378,20041124,1.0038640012255462,20041117,1.0059037903430306,20041117,1.012925643918622
20041222,1.00195225012359,20041222,1.004167375834635,20041215,1.0063947277980962,20041215,1.0138203471361116
20050119,1.0020045154954755,20050119,1.0043731774163416,20050112,1.0068532253900233,20050112,1.0147638871979134
20050216,1.0020916310550856,20050216,1.0045760911006336,20050216,1.0072127894590452,20050216,1.015722457278353
20050316,1.0022794506995432,20050323,1.0049968491241386,20050316,1.007700459281651,20050316,1.0168395499824279
20050420,1.0024124906969236,20050420,1.0051398350466882,20050413,1.0080978947683554,20050420,1.0169654229620824
20050518,1.0024906449179205,20050518,1.005331852520814,20050518,1.008308539393771,20050518,1.0176619436283816
20050615,1.0026044929442735,20050622,1.0056513208453224,20050615,1.008637455907351,20050615,1.0183952219466574
20050720,1.0027604467401008,20050720,1.005915996691083,20050720,1.00922538588417,20050720,1.0196144522707236
20050817,1.002889298136233,20050824,1.0062648858084156,20050817,1.009618747459658,20050817,1.0204474262081429
20050921,1.0030867691018128,20050921,1.0064843375220875,20050914,1.009799541535078,20050914,1.0202240839941037
20051019,1.0032162589778177,20051019,1.0067976727189176,20051019,1.0105093877502744,20051019,1.0220339385803978
20051116,1.0033317299596332,20051123,1.0071356128733362,20051116,1.0109211448961684,20051116,1.0230253248688275
20051221,1.0035259758032442,20051221,1.0073939268180414,20051214,1.011350731927381,20051214,1.0234596191450709
20060118,1.00360605407583,20060118,1.0075212742693385,20060118,1.0114969381780732,20060118,1.0236106528126967
20060215,1.0036857163353263,20060222,1.007839602768034,20060215,1.0119645942345195,20060215,1.0248686910074942
20060322,1.0038762720380547,20060322,1.0080837055103862,20060315,1.0122354332641401,20060315,1.0252784540172295
20060419,1.0039643650707144,20060419,1.008272279567014,20060419,1.0126628673995544,20060419,1.0260195727499328
20060517,1.0040912375674715,20060524,1.0085121096076421,20060517,1.0129296738612241,20060517,1.0265070903921019
20060621,1.0042725556612166,20060621,1.008897411950823,20060614,1.0134798627147499,20060614,1.027585471967127
20060719,1.0043348508827208,20060719,1.0089654125601013,20060719,1.0136497026945435,20060719,1.027852324226615
20060816,1.0042925055442635,20060823,1.0088279598408327,20060816,1.0133939048030716,20060816,1.0272125397154823
20060920,1.0042938210098655,20060920,1.0088135783083223,20060913,1.013402323587082,20060913,1.0269945331737245
20061018,1.0042852340264363,20061018,1.008785741129636,20061018,1.0133191799967722,20061018,1.0269265603855162
20061115,1.0042848048880775,20061122,1.0087782114680444,20061115,1.0132929221938989,20061115,1.0268212868273474
20061220,1.0043105652354285,20061220,1.0087885853424623,20061213,1.0132715407195063,20061213,1.0266858069049978
20070117,1.0042847239632402,20070117,1.0087646896475728,20070117,1.0132689432052069,20070117,1.026861244541646
20070214,1.0043039120230806,20070221,1.0087726744652667,20070214,1.0133059568904161,20070214,1.0268629983344006
20070321,1.0042859450806803,20070321,1.0087405244502148,20070314,1.0131967249675713,20070321,1.0262555362278423
20070418,1.0042861566792307,20070418,1.0087568722734703,20070418,1.0132336038363075,20070418,1.0265692310861352
20070516,1.0042855392550198,20070523,1.0087703943385726,20070516,1.0132368532420284,20070516,1.0266184008094714
20070620,1.0042864118958903,20070620,1.0087704640124313,20070620,1.0132705576746697,20070620,1.0269095672619122
20070718,1.0042862213112378,20070725,1.0087681005897795,20070718,1.0132528002403483,20070718,1.0267695429312385
20070822,1.0044196388980078,20070822,1.0087737434646051,20070815,1.0132974068614167,20070815,1.025735401224765
20070919,1.0041356258418705,20070919,1.008375304234626,20070919,1.0124537474504025,20070919,1.0239236441950343
20071017,1.0040383489407545,20071024,1.0079168983602864,20071017,1.0123610439224462,20071017,1.0242077556171743
